0.78978;-0.58559;8.4272
0.79733;-0.60355;0.0000
0.80902;-0.58779;0.0000
-0.11111;0.16629;800.00
-0.12491;0.17355;766.78
-0.13870;0.18080;735.11
-0.12684;0.15463;800.00
-0.14006;0.16111;767.58
-0.20723;0.94397;16.962
-0.20116;0.96238;8.4327
-0.19509;0.98079;0.0000
-0.22034;0.95817;8.4321
-0.21425;0.97678;0.0000
0.13861;-0.17695;741.94
0.14001;-0.15919;771.04
0.14142;-0.14142;800.00
0.12486;-0.17162;770.49
0.12684;-0.15463;800.00
0.79283;-0.55270;16.955
0.80092;-0.57024;8.4287
0.81215;-0.55413;8.4293
0.82041;-0.57177;0.0000
0.83147;-0.55557;0.0000
-0.076537;0.18478;800.00
-0.089251;0.19594;763.34
-0.10197;0.20711;728.67
-0.094153;0.17645;800.00
-0.10654;0.18670;764.14
-0.17000;0.95138;16.964
-0.16322;0.96953;8.4336
-0.15643;0.98769;0.0000
-0.18254;0.96608;8.4330
-0.17574;0.98444;0.0000
0.15727;-0.14712;763.23
0.17311;-0.15283;728.52
0.15463;-0.12684;800.00
0.16970;-0.13197;764.11
0.16629;-0.11111;800.00
0.81390;-0.52115;16.963
0.82268;-0.53836;8.4327
0.83327;-0.52182;8.4333
0.84223;-0.53912;0.0000
0.85264;-0.52250;0.0000
-0.039018;0.19616;800.00
-0.048866;0.20812;766.89
-0.058714;0.22008;735.34
-0.057826;0.19146;800.00
-0.067626;0.20243;767.72
-0.13250;0.95732;16.966
-0.12502;0.97519;8.4344
-0.11754;0.99307;0.0000
-0.14447;0.97250;8.4339
-0.13695;0.99058;0.0000
0.18188;-0.11256;766.64
0.19746;-0.11400;734.85
0.17645;-0.094153;800.00
0.19112;-0.095267;767.44
0.18478;-0.076537;800.00
0.83372;-0.48878;16.971
0.84318;-0.50564;8.4368
0.85311;-0.48870;8.4373
0.86275;-0.50564;0.0000
0.87250;-0.48862;0.0000
-0.016446;0.22793;733.72
-0.027732;0.21204;766.72
-0.0082231;0.21396;766.10
-0.019260;0.19907;800.00
0.0000;0.20000;800.00
-0.094795;0.96178;16.967
-0.086627;0.97935;8.4350
-0.078459;0.99692;0.0000
-0.10617;0.97743;8.4346
-0.097948;0.99519;0.0000
0.20239;-0.076154;761.20
0.22000;-0.075771;724.75
0.19146;-0.057825;800.00
0.20808;-0.057394;762.11
0.19616;-0.039018;800.00
0.85227;-0.45565;16.976
0.86238;-0.47214;8.4389
0.87164;-0.45482;8.4394
0.88193;-0.47137;0.0000
0.89101;-0.45399;0.0000
0.027913;0.22406;739.69
0.013956;0.21203;769.91
0.033465;0.21011;769.26
0.019260;0.19907;800.00
0.039018;0.19616;800.00
-0.056958;0.96476;16.966
-0.048109;0.98200;8.4348
-0.039260;0.99923;0.0000
-0.067708;0.98084;8.4344
-0.058798;0.99827;0.0000
0.21128;-0.034585;766.16
0.22640;-0.030153;733.98
0.19907;-0.019260;800.00
0.21320;-0.015076;767.01
0.20000;0.0000;800.00
0.86950;-0.42183;16.976
0.88025;-0.43791;8.4392
0.88882;-0.42024;8.4396
0.89976;-0.43638;0.0000
0.90814;-0.41866;0.0000
0.076537;0.18478;800.00
0.074588;0.20069;766.13
0.072640;0.21660;733.85
0.057825;0.19146;800.00
0.055829;0.20638;766.85
-0.019045;0.96626;16.964
-0.0095224;0.98313;8.4338
0.0000;1.0000;0.0000
-0.029152;0.98274;8.4334
-0.019556;0.99981;0.0000
0.21593;0.0071798;761.65
0.23186;0.014360;725.55
0.19907;0.019260;800.00
0.21401;0.026689;762.51
0.19616;0.039018;800.00
0.20805;0.048984;766.98
0.21994;0.058951;735.49
0.19146;0.057826;800.00
0.20236;0.067744;767.77
0.18478;0.076537;800.00
0.88540;-0.38737;16.976
0.89677;-0.40301;8.4391
0.90464;-0.38502;8.4395
0.91620;-0.40072;0.0000
0.92388;-0.38268;0.0000
0.11147;0.19642;739.57
0.094002;0.19060;769.83
0.11129;0.18136;769.21
0.094153;0.17645;800.00
0.11111;0.16629;800.00
0.17807;0.13772;741.19
0.15974;0.13957;770.74
0.14142;0.14142;800.00
0.17218;0.12442;770.04
0.15463;0.12684;800.00
0.16629;0.11111;800.00
0.14596;0.15694;765.63
0.15049;0.17245;732.93
0.12684;0.15463;800.00
0.13080;0.16937;766.37
0.018893;0.96627;16.963
0.029076;0.98275;8.4329
0.039259;0.99923;0.0000
0.0094466;0.98313;8.4325
0.019556;0.99981;0.0000
0.19677;0.089177;761.68
0.20876;0.10182;725.64
0.17645;0.094153;800.00
0.18753;0.10647;762.57
0.89992;-0.35231;16.976
0.91190;-0.36750;8.4393
0.91905;-0.34921;8.4398
0.93123;-0.36443;0.0000
0.93819;-0.34612;0.0000
0.056805;0.96478;16.962
0.067632;0.98085;8.4327
0.078458;0.99692;0.0000
0.048032;0.98200;8.4324
0.058797;0.99827;0.0000
0.91305;-0.31672;16.976
0.92562;-0.33142;8.4393
0.93205;-0.31287;8.4398
0.94482;-0.32759;0.0000
0.95106;-0.30902;0.0000
0.094634;0.96180;16.965
0.10609;0.97744;8.4339
0.11754;0.99307;0.0000
0.086546;0.97936;8.4335
0.097948;0.99519;0.0000
0.92478;-0.28064;16.974
0.93792;-0.29483;8.4380
0.94362;-0.27604;8.4386
0.95695;-0.29024;0.0000
0.96246;-0.27144;0.0000
0.13232;0.95734;16.970
0.14438;0.97251;8.4366
0.15643;0.98769;0.0000
0.12493;0.97520;8.4362
